Year,Male,Female
1963,5,1
1964,1,
1965,3,1
1966,0,0
1967,1,0
1968,3,0
1969,1,0
1973,0,2
1974,0,0
1975,2,2
1976,1,2
1977,0,0
1978,7,1
1979,2,1
1980,0,0
1981,0,1
1982,0,1
1983,0,1
1984,2,1
1985,1,0
1986,1,0
1987,1,2
1988,2,3
1989,8,3
1990,0,0
1991,1,0
1992,1,1
1993,1,1
1994,0,0
1995,0,0
1996,0,0
1997,0,0
1998,0,0
1999,0,0
2000,0,0
2001,0,0
2002,0,0
2003,1,0
2004,0,0
2005,7,4
2006,2,0
2007,3,0
2008,1,1
2009,1,0
2010,11,5
2011,2,0
2012,0,2
2013,20,7
2014,0,1
2015,2,0
